Data_Avist,localidade,municipio,estado,Latitude,Longitude
2019-11-06,Praia do Bessa,João Pessoa,Paraíba,"07° 04' 14.37"" S","34° 50' 03.44"" W"
2019-09-01,Praia de Tambaú,João Pessoa,Paraíba,"07° 06' 37.45"" S","34° 49' 23.59"" W"
2019-11-05,Praia de Pratigi,Ituberá,Bahia,"13° 46' 53.51"" S","39° 00' 02.51"" W"
2019-10-24,Praia de Itapuama,Cabo de Santo Agostinho,Pernambuco,"08° 17' 38.92"" S","34° 57' 07.02"" W"
2019-09-02,Praia do Janga,Paulista,Pernambuco,"07° 55' 41.22"" S","34° 49' 14.14"" W"
2019-09-10,Barra do Cunhaú,Canguaretama,Rio Grande do Norte,"06° 17' 53.75"" S","35° 01' 59.38"" W"
2019-11-07,Praia de Zumbi,Rio do Fogo,Rio Grande do Norte,"05° 16' 14.46"" S","35° 23' 00.71"" W"
2019-09-11,Praia de Zumbi,Rio do Fogo,Rio Grande do Norte,"05° 19' 11.17"" S","35° 21' 48.57"" W"
2019-11-02,Ilha de Santa Bárbara,Caravelas,Bahia,"17° 57' 45.91"" S","38° 41' 40.38"" W"
2019-11-07,Praia de Pratigi,Ituberá,Bahia,"13° 43' 08.93"" S","38° 59' 18.39"" W"
2019-11-08,Praia de Lençóis,Una,Bahia,"15° 08' 58.01"" S","38° 59' 45.26"" W"
2019-11-06,Praia de Aruanã,Aracaju,Sergipe,"11° 00' 03.96"" S","37° 03' 22.54"" W"
2019-11-08,Praia de Aruanã,Aracaju,Sergipe,"11° 05' 30.98"" S","37° 07' 09.71"" W"
2019-11-08,Praia do Mosqueiro,Aracaju,Sergipe,"11° 06' 56.13"" S","37° 08' 00.99"" W"
2019-10-29,Praia dos Náufragos,Aracaju,Sergipe,"11° 07' 55.16"" S","37° 08' 30.52"" W"
2019-09-02,Praia do Forte Orange,Ilha de Itamaracá,Pernambuco,"07° 48' 39.73"" S","34° 50' 19.04"" W"
2019-10-17,Rio Vermelho,Salvador,Bahia,"13° 00' 48.82"" S","38° 29' 31.23"" W"
2019-09-10,Pipa,Tibau do Sul,Rio Grande do Norte,"06° 13' 40.88"" S","35° 03' 04.18"" W"
2019-11-09,Praia Pirambu,Pirambu,Sergipe,"10° 41' 12.60"" S","36° 46' 59.97"" W"
2019-10-20,Viral,Aracaju,Sergipe,"11° 08' 04.12"" S","37° 09' 21.41"" W"
2019-09-17,Praia do Forte,Natal,Rio Grande do Norte,"05° 45' 58.41"" S","35° 11' 41.41"" W"
2019-09-07,Sagi,Baía Formosa,Rio Grande do Norte,"06° 28' 01.17"" S","34° 58' 17.42"" W"
2019-11-08,Praia de Siribinha,Entre Rios,Bahia,"12° 14' 26.55"" S","37° 46' 22.01"" W"
2019-10-21,Praia de Jairí,Ilhéus,Bahia,"14° 58' 41.88"" S","39° 00' 09.68"" W"
2019-10-19,Praia de Barra Grande,Vera Cruz,Bahia,"13° 02' 39.15"" S","38° 40' 43.39"" W"
2019-11-09,Praia do Casssange,Maraú,Bahia,"14° 00' 31.06"" S","38° 56' 37.06"" W"
2019-10-11,Praia do Corsário,Salvador,Bahia,"12° 58' 08.79"" S","38° 24' 23.78"" W"
2019-11-06,Praia dos Lençóis Maranhenses,Santo Amaro do Maranhão,Maranhão,"02° 24' 08.77"" S","43° 08' 36.79"" W"
2019-11-03,Praia de Barreta,Nísia Floresta,Rio Grande do Norte,"06° 06' 46.66"" S","35° 06' 00.15"" W"
2019-10-20,Taipu de Fora,Maraú,Bahia,"13° 56' 18.37"" S","38° 55' 43.08"" W"
2019-11-09,Praia de Jatobá,Barra dos Coqueiros,Sergipe,"10° 45' 03.14"" S","36° 51' 40.37"" W"
2019-10-18,Barra Grande,Igrapiúna,Bahia,"13° 52' 52.24"" S","38° 56' 38.94"" W"
2019-10-29,Rio Persinunga,Maragogi,Alagoas,"08° 54' 35.00"" S","35° 09' 06.49"" W"
2019-11-05,Praia do Boqueirão,Japaratinga,Alagoas,"09° 07' 56.38"" S","35° 17' 03.20"" W"
2019-10-23,Praia de Tabatinga,Conde,Paraíba,"07° 18' 49.77"" S","34° 48' 06.90"" W"
2019-10-09,Foz do Rio São Francisco,Piaçabuçu,Alagoas,"10° 29' 43.55"" S","36° 23' 33.77"" W"
2019-08-30,Praia de Jacumã,Conde,Paraíba,"07° 16' 49.11"" S","34° 47' 58.23"" W"
2019-10-24,Praia da Majorlândia,Aracati,Ceará,"04° 33' 19.68"" S","37° 40' 08.51"" W"
2019-10-23,Praia de Rendinha Nova,Extremoz,Rio Grande do Norte,"05° 43' 01.44"" S","35° 12' 00.23"" W"
2019-09-11,Pirangi do Norte,Parnamirim,Rio Grande do Norte,"05° 58' 20.65"" S","35° 07' 35.85"" W"
2019-09-11,Pirangi do Sul,Nísia Floresta,Rio Grande do Norte,"05° 59' 07.43"" S","35° 07' 01.56"" W"
2019-09-11,Foz do Rio Pirangi/Pium,Nísia Floresta,Rio Grande do Norte,"05° 58' 50.03"" S","35° 07' 20.40"" W"
2019-11-05,Praia do Mosqueiro,Aracaju,Sergipe,"11° 01' 50.75"" S","37° 04' 41.22"" W"
2019-10-19,Ondina,Salvador,Bahia,"13° 00' 41.05"" S","38° 30' 46.87"" W"
2019-11-09,Praia do cemitério,Uruçuca,Bahia,"14° 27' 49.86"" S","39° 01' 33.62"" W"
2019-09-01,Praia de Intermares,Cabedelo,Paraíba,"07° 02' 46.13"" S","34° 50' 26.89"" W"
2019-09-01,Praia do Poço,Cabedelo,Paraíba,"07° 01' 21.65"" S","34° 49' 46.78"" W"
2019-11-07,Praia de Flexeiras,Feliz Deserto,Alagoas,"10° 18' 38.77"" S","36° 17' 49.68"" W"
2019-09-01,Praia de Camboinha,Cabedelo,Paraíba,"07° 00' 17.06"" S","34° 49' 33.01"" W"
2019-10-24,Praia de Guaibim,Valença,Bahia,"13° 17' 09.32"" S","38° 57' 48.02"" W"
2019-11-07,Rio Manguaba,Porto de Pedras,Alagoas,"09° 08' 55.36"" S","35° 17' 35.79"" W"
2019-10-21,Praia do Japonês,Camaçari,Bahia,"12° 50' 22.92"" S","38° 14' 05.46"" W"
2019-11-08,Segunda Praia,Cairu,Bahia,"13° 22' 43.95"" S","38° 54' 42.55"" W"
2019-11-01,Praia da Coroinha,Itacaré,Bahia,"14° 16' 35.79"" S","38° 59' 44.74"" W"
2019-10-18,Caixa Prego,Vera Cruz,Bahia,"13° 07' 45.99"" S","38° 47' 08.59"" W"
2019-11-08,Praia de Guaibim,Itaparica,Bahia,"12° 55' 25.15"" S","38° 37' 26.05"" W"
2019-10-16,Praia de Coroa do Meio,Aracaju,Sergipe,"10° 57' 57.85"" S","37° 01' 50.07"" W"
2019-10-21,Praia de Ipitanga,Salvador,Bahia,"12° 55' 01.19"" S","38° 18' 33.45"" W"
2019-10-14,Barreira do Boqueirão,Japaratinga,Alagoas,"09° 07' 33.59"" S","35° 16' 44.85"" W"
2019-11-03,Costa do atlantico,Nova Viçosa,Bahia,"17° 58' 23.99"" S","39° 28' 16.99"" W"
2019-11-08,Praia da Concha,Itacaré,Bahia,"14° 16' 30.37"" S","38° 59' 17.69"" W"
2019-09-10,Praia do Giz,Tibau do Sul,Rio Grande do Norte,"06° 11' 07.17"" S","35° 05' 19.75"" W"
2019-10-30,Lagoa Guaraíras,Tibau do Sul,Rio Grande do Norte,"06° 10' 51.29"" S","35° 05' 33.46"" W"
2019-11-08,Praia da Barra Nova,São Mateus,Espírito Santo,"18° 50' 38.97"" S","39° 45' 01.81"" W"
2019-11-09,Praia de Guaratiba,Prado,Bahia,"17° 25' 21.76"" S","39° 11' 53.13"" W"
2019-11-09,Praia de Batuba,Ilhéus,Bahia,"14° 55' 39.06"" S","39° 01' 03.75"" W"
2019-11-09,Praia de Back Door,Ilhéus,Bahia,"14° 56' 11.05"" S","39° 00' 54.71"" W"
2019-11-01,Praia de Guaiu,Belmonte,Bahia,"16° 05' 04.07"" S","38° 56' 47.63"" W"
